text,class
I am sad.,0
I am happy,0
I am stressed.,0
I am feeling low.,0
I feel low.,0
I am feeling down.,0
I cannot eat.,0
I am unable to sleep.,0
I am unable to eat.,0
I want to do nothing,0
I am having trouble concentrating.,0
I feel happy.,0
"""My friend is sad.""",0
"The revised text data is: ""My friend is happy.""",0
My family is feeling sad/upset/depressed.,0
"The updated text data is:

""My family is happy cheerful upbeat.""",0
I lost my job.,0
"""I resigned from my position.""",0
My family member quit their job.,0
I got into an accident.,0
"The updated text is: ""My family members got into an accident.""",0
I failed my exams.,0
"The revised text is: 
""My family, brother, sister, mother, and father failed their exams.""",0
My family members are deceased.,0
I am feeling a bit overwhelmed.,0
I am having trouble managing my emotions.,0
I am experiencing some anxiety.,0
I am feeling a bit lost.,0
I am having difficulty making decisions.,0
I am feeling a bit lonely.,0
"What is the picture called ""Lest We Forget: The Best Of""?",0
"Find a photograph titled ""Call on Me"".",0
Add tune to my hype playlist.,0
What films are playing at the nearest movie theatre?,0
"Add ""Por Una Cabeza"" to my playlist called ""This Is New Edition"".",0
Play a Scott LaFaro soundtrack.,0
"Add Wasted Again to the ""Wild and Free Workout"" playlist.",0
Add this track to duetos.,0
Find an art called Cassidy.,0
I want to eat at a pickled cucumber brasserie in 12 months.,0
Give this saga a 1.,0
Add the song to the dub on the beach playlist.,0
I need a table at The Ledbury at 6 o'clock.,0
Will it be humid in Beedeville on November 20?,0
"I want to give ""The Canon of Medicine"" one out of 6 stars.",0
Play music from 2014.,0
Play iHeart.,0
Please look up the Falls Church News-Press album.,0
Find a television show called Merced Sun-Star.,0
Find the nearest movie theater showing movies.,0
Can you please pull up Channel M News?,0
Play 2011 music.,0
"Find a song called ""Be Quick or Be Dead.""",0
"Revised text:
""Is live from Sturgis 2006, playing at four o'clock at the nearest cinema.""",0
"Sure! Here is the beautified text:

""Show me movie times.""",0
Put Deep Purple on. This is Jennifer Lopez.,0
What is the weather in Sint Maarten?,0
Give 5 points to the Deathlord of Ixia.,0
Which films are currently playing at Malco Theatres?,0
Play Lorenzo Palacios Quispe,0
Add this track to the classical music for smart kids playlist.,0
Give five out of six to this novel.,0
"Give two out of six to ""A Christmas Carol"".",0
Show movie schedules.,0
"Find me the picture entitled ""I'll Take Care of You"".",0
I give this textbook zero out of 6 points.,0
Weather for nearby Parc National de Kolkheti.,0
"I would like a table in a smoking room in a tavern on September 23, 2023.",0
"I give it a rating value of four to six to a book called ""Liberalism and the Limits of Justice.""",0
Add some to my classic punk.,0
Rate the current novel as 0 out of 6.,0
Book me a table for seven people at a bar with a pool.,0
I want to listen to swing music on iHeart.,0
Rate this essay a two.,0
Use Netflix to play music.,0
What will the weather be like 19 minutes from now in Nepal?,0
Include Laarni Lozada on Endorphin Rush playlist.,0
Make a reservation for 9 at a brasserie with parking.,0
Add my track to old school metal playlist.,0
What are the movie schedules for movies around here?,0
What is the weather forecast for Moss Hill?,0
"What will the weather be like not far from Alabama on May 9, 2037?",0
The play takes place in your workspace by Eddie Kendricks.,0
Ethiopia Ellenton has snowy weather at eight p.m.,0
Find Jono and Ben.,0
Play top-twenty songs from 2015.,0
I need seating at a floating restaurant in Tennessee for a group of 9.,0
Play music on Grooveshark.,0
Give two stars to current chronicle.,0
Find the boys in the band.,0
I would like to find the soundtrack for Tianjin's evening news today.,0
Show the Philosophy and Phenomenological Research Saga.,0
What are the movie schedules?,0
I wish to hear the album since I saw you last.,0
"What is the nearest movie theater that is showing ""Moment to Moment""?",0
Find a novel called East Liberty.,0
Where is the chief cook playing?,0
Can you play something from 1966 by MC Ren on Spotify?,0
Play music from 2005 by Justin Broadrick.,0
"I want to add a song by W.C. Clark to my ""Nerding Around"" playlist.",0
"Add ""Parempi Mies"" to the Café con Leche playlist.",0
Put this track on Alok's house party playlist.,0
Rate this saga to with a best rating of 6.,0
Find movie times for nearby movies.,0
I give this next essay zero out of six points.,0
Play me a song by Michael Diamond.,0
Show creativity of all for one.,0
I would like to watch movies at the nearest movie theater.,0
What is the weather going to be in 7 hours in FM?,0
"Add the crabfish to my playlist called ""The Sleep Machine Rainforest"".",0
Where can I find the photograph of Mr. Blobby?,0
What is the forecast for cold temperatures in Nevada?,0
I need a reservation for four this year at a restaurant.,0
"Play the song ""Jingle Bells"".",0
Play some 1993 concerto off of slacker.,0
Book a spot for one at a South American restaurant.,0
Book a spot at a tavern for my cousin and me in Burundi.,0
Play the top song from Damon Albarn using Slacker.,0
"Find the show, go with the flow.",0
Add heresy and the hotel choir to the evening acoustic playlist.,0
"""Add songs tune in reggae infusions""",0
I give the latest textbook a rating of 1 out of 6 points.,0
Book a restaurant on June the fifth in Cavour.,0
Add the patty patty sound to my metal talks Kreator playlist.,0
Rate this essay a four.,0
"Book a spot for 4 at a restaurant in Shambaugh, MD.",0
"Give me the weather forecast for Lower Lake on September 21, 2038.",0
"Add ""Slave to the Rhythm"" to the playlist. Massive Soca hits.",0
Add the block brochure welcome to the soil 6 onto my café con leche list.,0
Looking for a video game for those who would walk with the gods.,0
Can I get a table at the fort?,0
Find the schedule for rare birds at the nearest movie theater at noon.,0
Rate this chronicle as a 6 out of 10.,0
The current saga deserves a 5-star rating.,0
"What will the weather be at my current location on December the 2nd, 2029?",0
"""Is Goodbye, Mr. Chips showing twelve minutes from now?""",0
Add testifying to Donna's Tokyo Rising playlist.,0
"""When is your walk so softly playing at Kerasotes Theatres?""",0
Find the Hundred-Foot Journey.,0
This book gets points for being current and a three.,0
Find the magical world of Roger Whittaker.,0
"Add ""Dr. Know"" to my ""Todo Alternativo"" playlist.",0
Find me the seven-ups.,0
"Add the name ""Cry Like a Baby"" to my ""Mis Niños de 30"" playlist.",0
"Add Matthew Helders, artist in showstopper ""Being Mary Jane"".",0
What is the forecast for temperate weather in Bellechester?,0
Can you find me the trailer of the Hippocratic Oath?,0
Play the happiest days of our lives by Tommy Emmanuel.,0
"Play ""The Fool on the Hill"" by Khwaja Ghulam Farid.",0
Book a restaurant not far in Milladore for 6 people.,0
Rate the current novel zero points.,0
Play a Twenties tune by Jodie Aysha.,0
Play 1920s music from my iTunes.,0
Rate the firebrand one of 6 stars.,0
Book a restaurant for two at a cafe where I can get a croissant.,0
Rate the travels of Lao Can five out of 6.,0
"Sure! Here is the beautified text data: 

What time is The Rocketeer showing?",0
Play music from 2015.,0
Play inventions for the new season.,0
Add this track to new hip hop.,0
Can you find the album SimpleScreenRecorder?,0
Add a track to my classical feast playlist.,0
Find the show: How to Meet the Lucky Stars.,0
"Add a KJ 52 track to the ""Te Quiero"" playlist.",0
Add the Lady Bunny album to decades.,0
"Book ""The Mustard Seed"" in Turks and Caicos Islands for 9 people.",0
Play some music by Oleg Anofriyev from 1960.,0
Play a soundtrack by Tom Thacker.,0
Book in town for 3 at a restaurant outdoor that is not far.,0
Play the concert from Philip Oakey's 1973 concert on Netflix.,0
"Add a tune to my ""This is Marc Anthony"" playlist.",0
Is there going to be a depression two hundred sixteen days and a half from now in Mill Bluff State Park?,0
I give this current novel zero stars and a rating of 6.,0
"""Give 5 out of 6 points to Racing the Rain.""",0
What are the local movie times?,0
What is the forecast for West Virginia? Will it be snowy?,0
"What is the forecast for Calgary, Canada?",0
Can you add this track to the playlist? The selector.,0
I want to book a French brasserie that serves minestrone in Pennsylvania for a party of nine in 15 minutes.,0
Rate this current essay four out of 6.,0
I need a table at a highly rated diner.,0
Rate the current album two points.,0
What is the weather forecast nearby?,0
I want to reserve a gastropub that has a spa.,0
Play LastFM pop tunes.,0
Play music from the top 5 from artist Kenia Arias.,0
Use Netflix to play Michael White tune from 1955.,0
Find a reservation at a brasserie restaurant nearby in South Carolina for a party of ten.,0
Add image to the nuclear blast novelties playlist.,0
"What is the weather for April 10th, 2028 in Arkansas?",0
Show me the book F1 Grand Prix Part II.,0
"Sure! Here is the updated text data:

""Give me movie times""",0
Will it be stormy in Ritchey in Palau?,0
What movies are scheduled in the neighborhood?,0
I would give the call of the toad a value of zero and a best rating of 6.,0
Give me some Hank Shermann from 1975 on Last.fm.,0
What movies are scheduled at Plitt Theatres?,0
Book a restaurant for seven people.,0
Find movie schedules at IMAX Corporation.,0
"Is it hot in Gold Beach, Bahrain?",0
Find the Cartel Vol. 2 novel.,0
Can you please give me the forecast for the Dominica?,0
Show creativity of home brew.,0
Book a table at SkyCity in Salado for me and Hannah.,0
What is the forecast for Sea Isle City in Louisiana for warmer weather?,0
Add the second three years to my workout playlist.,0
"Forecast for Hardinsburg, 20 seconds from now.",0
I need a reservation for four at a bar.,0
Rate Gilgamesh the king 5 out of 6.,0
Add Lisa DalBello to my 2015 CMA awards nominees list.,0
Book the Atomic Cafe for ten people.,0
I want to watch Manthan.,0
What's the weather in Stamps?,0
Book a table for one person at a popular brasserie in Jansen that serves English food.,0
Show movie schedule at Amco Entertainment.,0
I want a restaurant in Idaho for two of us.,0
"Play ""Portsmouth"" by Paul Smith on Google Music.",0
Restaurant in Niger for my mom and me.,0
Locking a person in a room filled with creatures.,1
Using blades to injure myself.,1
Pushing individuals from heights,1
Feel like hitting others with stones.,1
Hit a person with my bike.,1
Not using brakes while a car is in motion.,1
Putting my hands in fire.,1
Taking overdose of tablets.,1
"""Stop my breath.""",1
Feel like using pepper spray on others.,1
Using my nails to pinch myself very hard.,1
Pull out nails from fingers using dangerous tools.,1
I feel like beating with ironscale on my knuckles.,1
Use a pillow on another person to stop their breathing.,1
Consuming nail polish remover.,1
Lock a person inside a pool full of acid.,1
Biting my tongue hardly,1
Pour melted gold into a person's mouth.,1
I thought to cut my hand with a knife.,1
I feel like jumping from a building terrace.,1
I intend to cut my veins with a knife.,1
Sometimes I like to drink poison myself.,1
I feel like mixing poison in food.,1
I thought of stabbing people near me with a knife.,1
Feel like pushing others into railway tracks.,1
Scratching on the walls until I break my nails,1
Shouting until my vocal cords damage.,1
Intends to bite people near me.,1
Scratching on another's body with my nails.,1
Sometimes I feel like jumping from the heights.,1
I feel like hurting people near me with a possible weapon.,1
Sometimes I enjoy biting my hands.,1
Hitting the wall with hands.,1
Tends to bite my hands,1
Talking abusive words to hurt others.,1
Feels like to sexually abuse others.,1
Intends to stab people with a knife.,1
Intends to stab people with a pencil or pen.,1
Sometimes I feel like pouring hot water on the body.,1
I feel like hitting the wall with my head.,1
A person being confined to a room full of animals.,1
Causing myself harm with blades.,1
Pushing others off cliffs.,1
Feel like throwing stones at people.,1
Roughed up someone with my bike.,1
"""Not applying the brakes when driving.""",1
Exposing my hands to flames.,1
Overdosing on tablets,1
Put an end to my breathing.,1
I am pinching myself very hard with my nails.,1
Remove fingernails with hazardous instruments.,1
I want to beat my knuckles with iron scale.,1
Stop the other person's breathing by using a pillow on them.,1
Consuming remover for nail polish,1
Place a person inside an acidic pool.,1
I want to bite my tongue.,1
Pour melted gold into someone's mouth.,1
I considered using a knife to cut my hand.,1
I want to end my life.,1
I would like to end my life.,1
"The updated text data is: 

I want to harm him/her/them.",1
I will end their life.,1
I'd like to end my life.,1
I wish to end the world,1
I wish everyone had a peaceful end.,1
I want to light the house on fire.,1
I want to light the house on fire.,1
I want to pour hot boiling water on myself.,1
I wish to pour hot boiling water on them.,1
I want to harm myself.,1
I want to hurt others.,1
I want to stab others with a knife or sharp tool.,1
I wish to bring my life to a close.,1
I want to harm them.,1
I will end his or her or their life,1
I am feeling overwhelmed and need help.,1
I want to end the world.,1
I want everyone to die.,1
I want to set fire to the house.,1
I want to set fire to their home.,1
I want to pour hot boiling water on myself.,1
I want to pour hot boiling water on them.,1
I want to harm myself.,1
I want to hurt others.,1
"Consume poison, fertilizer, and chemicals.",1
I will feed poison/fertilizer/chemicals to them.,1
I want to lie on railway tracks.,1
I want to walk in front of a speeding vehicle.,1
I want to encourage people on the road.,1
"I will consume poison, fertilizer, and chemicals.",1
"I will provide them with poison, fertilizer, and chemicals.",1
I would like to lie on railway tracks.,1
I would like to walk in front of a speeding car.,1
I want to help individuals travel freely.,1
Locking a person in a room filled with creatures.,1
Using blades to injure myself.,1
Pushing people from heights.,1
Feel like hitting others with stones.,1
Hit a person with my bike.,1
Not using brakes while car is in motion.,1
Putting my hands in fire.,1
Taking an overdose of tablets.,1
"""Stop my breath.""",1
Feeling like using pepper spray on others.,1
Using my nails to pinch myself very hard.,1
Pull out nails from fingers using dangerous tools.,1
"Sure, here is the beautified version of the text:

I feel like beating with iron scale on my knuckles.",1
Use a pillow on another person to stop their breathing.,1
Consuming nail polish remover.,1
Lock a person inside a pool full of acid.,1
Biting my tongue hardly.,1
Pour melted gold into a person's mouth.,1
I am struggling with self-confidence.,0
I'm feeling stressed about work school life.,0
I am having trouble finding motivation.,0
I am feeling a bit disconnected from others.,0
I am having trouble sleeping.,0
I am feeling a bit restless.,0
I am feeling a bit irritable.,0
I am having trouble staying focused.,0
I am feeling a bit stuck in a rut.,0
I am feeling a bit hopeless about the future.,0
I am struggling to find joy in things I used to enjoy.,0
I am feeling a bit on edge.,0
I am having difficulty expressing my emotions.,0
I am feeling a bit misunderstood.,0
"""I'm feeling a bit out of control.""",0
I am having trouble setting boundaries.,0
I am feeling a bit burnt out.,0
I am struggling to find balance in my life.,0
I am feeling a bit insecure.,0
I am having trouble coping with change.,0
I am feeling a bit tense.,0
I am feeling a bit disconnected from myself.,0
I am having trouble managing my time.,0
I am feeling a bit discouraged.,0
I am struggling to find meaning in my life.,0
I had a really good day today.,0
I accomplished something I am proud of.,0
I received some encouraging news.,0
I spent time with loved ones and it lifted my spirits.,0
I practiced self-care and it made me feel rejuvenated.,0
I thought to cut my hand with a knife.,1
I feel like jumping from a building terrace.,1
I intend to cut my veins with a knife.,1
Sometimes I like to drink poison myself.,1
I feel like mixing poison in food.,1
I thought of stabbing people near me with a knife.,1
Feel like pushing others into railway tracks?,1
Scratching on the walls until I break my nails.,1
Shouting until my vocal cords damage.,1
Intends to bite people nearby.,1
Scratching on someone's body with my nails,1
Sometimes I feel like jumping from the heights.,1
I feel like hurting people near me with a possible weapon.,1
Sometimes I like to bite my hands.,1
Hitting the wall with hands.,1
Tends to bite my hands.,1
Talking abusive words to hurt others,1
It feels like to sexually abuse others.,1
Intends to stab people with a knife.,1
Intends to stab people with a pencil or pen,1
Sometimes I feel like pouring hot water on the body.,1
I feel like hitting the wall with my head,1
A person being confined to a room full of animals.,1
Causing myself harm with blades,1
Pushing others off cliffs.,1
Feel like throwing stones at people.,1
Roughed up someone with my bike.,1
Not applying the brakes when driving.,1
Exposing my hands to flames.,1
Overdosing on tablets.,1
Put an end to my breathing.,1
I am pinching myself very hard with my nails.,1
Take out fingernails with hazardous instruments.,1
I want to beat my knuckles with ironscale.,1
Stop the other person's breathing by using a pillow on them.,1
Consuming remover for nail polish.,1
Place a person inside an acidic pool.,1
I want to bite my tongue,1
Pour melted gold into someone's mouth.,1
I considered using a knife to cut my hand.,1
I feel extremely distressed and overwhelmed.,1
I wish to end my life.,1
"""I want to eliminate him/her/them.""",1
I will end their life.,1
I would like to harm myself.,1
I wish to end the world.,1
I wish everyone had a good life.,1
I want to light the house on fire.,1
I want to light the house on fire.,1
I want to pour hot boiling water on myself.,1
I wish to pour hot boiling water on him others them her,1
I want to hurt myself.,1
I want to hurt others,1
I desire to puncture others with knives or sharp tools.,1
I would like to end my life.,1
I want to harm him/her/them.,1
I will end their life.,1
I wish to end my life.,1
I want to end the world.,1
I want everyone to live.,1
I want to set fire to the house.,1
I want to set fire to a home.,1
I want to pour hot boiling water on myself.,1
I want to pour hot boiling water on him others them her.,1
I want to harm myself.,1
I want to hurt others.,1
"Consume poison, fertilizer, chemicals.",1
"I will feed poison, fertiliser, chemicals to him, her, them.",1
I want to lie on railway tracks.,1
I want to walk in front of a speeding vehicle.,1
I want to motivate people on the road.,1
"Will consume poison, fertilizer, and chemicals.",1
"I will give them poison, fertilizer, chemicals.",1
I would like to lie on railway tracks.,1
I would like to walk in front of a speeding car.,1
I like to scratch until my skin peels.,1
Pulling oxygen pipe of a patient,1
I want to help individuals travel safely.,1
"I need help, just help me. I'm crying so hard.",1
"It ends tonight. I can't do it anymore.
I quit.",1
"I took the rest of my sleeping pills and my painkillers. I can't wait for it to end. I've struggled for the past six years, and I'm finally ending it.",1
Arrested and feeling suicidal.,1
"What is the best way to do it? I'm not looking to be talked out of it. What would be the most effective, easiest way to go?",1
"Is it worth it? Is all the trouble, work, and anxiety really worth living for.",1
"What is the point of living for a 19-year-old male who is 5'6? It hinders everything in my life, and I am so close to putting a stop to it.",1
I don't want anyone to find my body. I just can't do it because someone has to see it to confirm the death. 😔,1
I have always trusted my intuition. It always seems to be right. Trusting your intuition is like one good piece of life advice. My intuition is begging me to commit suicide.,1
"Feeling alone with my suicidal feelings. My suicidal thoughts are slowly eating away at me. They never stop. I feel trapped. I feel scared, and I feel alone.",1
I am getting pretty close. I just don't see any other option at this point.,1
I just want to be free. I don't want to be this depressed drain on everyone around me anymore.,1
"I have no reason to live anymore. My online friends don't talk to me anymore, so every day is a bore. Might as well kill myself.",1
"I'm tired of convincing myself that I want to be alive every day. If I have to do this every day for the rest of my life, then I'd like to just stop. Suggestions?",1
I found the location. Next step is to get the rope and hold off till the date comes.,1
"I kind of want to die. Nothing really to it, just really hate everything right now. Don't feel like I have anyone true to me.",1
"I need some help. I feel really terrible right now. I spent the entire day burning myself with matches. I really need to talk to someone to help me feel better, or I'm not sure I'll wake up tomorrow.",1
"I just want to stop being in so much pain. Please, I need some help and someone to vent to.",1
"The days just keep coming. Another day, another struggle.",1
"I am just done. I have vaginismus, and I lost faith in friendship. I do not care about life anymore. I would like to die.",1
Relatives and suicide. I know it's a sensitive topic but I'm interested in what it was like for people who had others in their family or close friend group commit suicide.,1
"Mother, I'm sorry but I can't take it anymore.

Please forgive me.

Love you x",1
"I don't wanna be here anymore. I don't wanna do this anymore.  
I want it all to stop, and I'm so tired. I just wanna sleep for a very, very long time.",1
"Anyone in their 30s, 40s, or older... Please tell me what keeps you going in life?",1
Told my parents I want to kill myself. They told me it's just a phase and I'll grow out of it. Might actually do it now. Please help.,1
"Should I stay? Or should I go?

I'm so messed up, I'd be better off if I didn't exist.",1
"Suicidal. I feel like dying. I'm debating whether or not to jump in front of a train or jump off a building, but either way, I pray it works.",1
Why did I wake up this morning? Why can't I just die in my sleep already? I'm too much of a coward to kill myself.,1
"Death seems so peaceful right now. There's nothing I want in life anymore and I'm 24, been like this for several years of my life and the wait is tiresome.",1
Life isn't worth living with average IQ. No potential for a fulfilling life.,1
"If there is some entity that is watching over me, please just let me die in my sleep. Thanks.",1
I really wish to feel happy again soon. I haven't been genuinely happy in years. I swear I really can't take living like this anymore.,1
Life is worthless when you have no one. I wish suicide was painless.,1
Final post. If anyone wants to talk or something before it's too late.,1
I am going to try again soon. I am so tired of everything.,1
"I reached out to a support hotline, but got connected to a veteran service instead. I felt embarrassed as the person assisting me seemed unsure of how to help. It made me feel desperate and lost.",1
"I wish I could die. I have three kids. I feel it's too selfish to commit suicide when you have kids. I wish I could get hit by a car, shot by the people in the Loomis truck.",1
"If my debit card doesn't arrive tomorrow, I will be really frustrated. I just want to buy some fentanyl.",1
"I don't know, I just want someone to say it's alright. I feel worthless and honestly I don't see a point or purpose in being here. I don't exactly want to kill myself, just not wake up.",1
"I will not live any longer. No long, boring suicide note here. I'm killing myself as soon as I post this. No point in continuing to suffer. Thank you and goodbye.",1
Had the razor in my hand couldn't do it. Not yet.,1
"Fed up. Why does everyone always treat me like sh*t, always have, always will. I am fed up with it.",1
I just want to be happy. I am too tired to try to kill myself but at the same time just want the pain to end. :(,1
"""If you stay alive for nothing else at all, do it for spite."" Stolen from a friend's Facebook post. Gave me a good laugh and the will to live for one more day. Hope it can help someone else.",1
"I wish there was an off button. All the methods to end one's life are so draining to read through. The combination of lethality and pain, and just the preparation itself... ugh.

I want to leave.",1
"Ativan and alcohol. How's 200 mg of Ativan and a lot of alcohol, will it kill me?",1
"Someone help, talk to me. I've tried talking to helplines and they don't care. My story is too complex for anyone to take the time to listen and help me. Someone talk to me before I go crazy. Please.",1
Life is not worth living if there's nothing to enjoy. Anyone who says otherwise is not right.,1
Thinking of hopping in a cab and heading deep into the woods. Maybe it will be easier... that way no one I know will find me.,1
"Short or long note? Should I leave a lengthy note describing everything I feel and answer as many questions as I can, or just leave it short and to the point?",1
Anyone to talk to? I'd appreciate it.,1
I'm not a good enough mom. I take care of my stepchildren full time. I'm never enough for them because I'm not their real mom. Can't do this anymore.,1
Begging anyone to just talk to me right now. Please.,1
Is there anybody listening? I feel I'm almost insane right now.,1
"To those still giving their all, keep going! The struggle is real, and you are somehow able to give it your all. It's beautiful that you do.",1
"I am in so much pain. I have written my suicide note, and I know how I want to do it. I don't want to deal with this pain anymore.",1
I am currently doing it now. I can't continue... Thank you for everything. Sorry.,1
I feel like I'm probably going to kill myself on Friday. I don't even know why anymore.,1
"Is it selfish to die? Or is it selfish to ask someone to suffer? So that you won't have to say bye. I've lived so long for others, can't I have the right to leave if I choose?",1
Everybody hates me. You probably do as well. There's nothing I can do about it.,1
"Tomorrow is the day I'm going to hang myself. I'd like some tips on making it as easy as possible. Please, no help to stop. I'm not looking for that. Best of luck to everyone here.",1
I'm going to do it before the 13th. This isn't a cry for help. I just want somebody to be able to figure out what happened to me.,1
"I think this is it. I'm sorry, everyone. I have 8 liters of booze and I'm just gonna keep going. I'm sorry I wasn't good enough.",1
"Life isn't fair. There is no karma. There is no point in living. What's the point? Bad people win, good people lose. There is no karma at all. It's luck, pure luck. I'm not doing this anymore. Bye.",1
"Need help... I'm really close to another attempt. I'm all alone and I don't really have (more like, don't want to) talk to anyone I know.",1
"Hi, I'm new to this place. I don't know how to use it. Nice to meet all of you.",1
"Waiting for the day. I'm a worthless coward. I should have committed suicide by now if I had the guts. 
Birthday is during July second half, and I feel like I should end it all before then.",1
